peakID	mzmed	mzmin	mzmax	rtmin	rtmax	npeaks	all_sample_valid	mzmin_full	mzmax_full	rtmin_full	rtmax_full	isotopes	adduct	pcgroup	medianPurity	i
697	264.8618168713	264.8606399936	264.8629937489	1614.8815237535	1615.6697037853	2	0	264.8455505371	264.9220581055	1600.8857137565	1632.7861822444			1153	0.0961182233	263437.326661449
154	154.9666874427	154.9634010926	154.9692965163	1644.6962307318	1645.9313270709	4	1	154.9316253662	155.0167694092	1627.359995178	1663.6260542309			797	0.0956787601	2519371.09701771
321	192.1817713976	192.1814971832	192.1820456121	1056.5755719458	1059.9967409838	2	0	192.1596679688	192.18359375	1042.8151453157	1070.1957256222			1705	0.0931797888	559525.117187545
548	243.9826343084	243.9824854431	243.9827831736	1617.0544838892	1617.4421558525	2	0	243.9648284912	243.9867095947	1600.8857137565	1631.6723851959	[67][M+1]+		1152	0.0926675133	367876.098563159
307	190.1805289686	190.180483909	190.1805740282	742.943810177	743.0213267578	2	1	190.1800994873	190.1807250977	727.8192986887	756.7019027007			1653	0.0887018248	604008.234607586
859	285.2419509378	285.2407671061	285.2894608631	1099.108158797	1146.5380839931	6	1	285.2036132813	285.2429504395	1086.0689291958	1112.1925159242			835	0.0881141217	3565935.95817249
931	293.1786354201	293.1784696778	293.1788011623	510.604219369	510.7413305504	2	1	293.1531677246	293.1898803711	495.3534328623	524.7083804584			1349	0.0832515871	2629252.01188483
394	210.1032342722	210.1032342722	210.1032342722	312.1823506803	312.1823506803	1	0	210.0368804932	210.1106109619	299.6769536448	324.5336124588			1406	0.0824035155	2478683.24103471
3	100.9781174193	100.9767123994	100.9795224392	1651.3992215609	1651.7194407191	2	0	100.9712371826	101.0084075928	1639.0125497514	1667.8371540377			435	0.0784270893	1526502.3274718
309	190.1805282202	190.1805257285	190.1805307118	649.2261665123	649.5330200096	2	1	190.1802825928	190.1806640625	631.2936974235	670.4308417286			1646	0.0758874359	849866.81671249
55	122.0804703996	122.0797779622	122.081162837	148.4401085407	149.2703132899	2	1	122.0601425171	122.0877075195	136.2402985817	160.5675074501	[6][M+2]+		2	0.0749296605	3038762.99942625
